image,bee,xmin,ymin,xmax,ymax
1200,0,640,1169,713,1294
1200,1,2177,754,2221,913
1200,2,687,754,780,873
1200,3,2003,667,2074,799
1200,4,1001,624,1049,757
1200,5,1328,603,1381,726
1200,6,1415,662,1502,726
1200,7,1092,648,1208,719
1200,8,1958,590,2023,688
1200,9,1689,593,1782,687
1200,10,1887,586,1928,684
1200,11,2100,580,2148,683
1200,12,1211,550,1264,640
1200,13,1596,539,1684,627
1200,14,1354,532,1414,604
1200,15,1909,507,2000,581
1200,16,821,471,872,557
1200,17,1127,497,1173,555
1200,18,1308,488,1354,553
1200,19,1236,490,1273,552
1200,20,1061,497,1100,552
1200,21,947,502,986,540
1200,22,1400,491,1433,526
1200,23,1545,483,1588,516
1201,0,640,1169,713,1294
1201,1,690,755,780,874
1201,2,2000,666,2073,789
1201,3,1005,620,1044,755
1201,4,1323,599,1390,728
1201,5,1415,663,1502,727
1201,6,1090,657,1211,725
1201,7,1703,590,1779,696
1201,8,1967,589,2019,689
1201,9,2100,580,2148,683
1201,10,1888,586,1928,683
1201,11,1210,550,1263,640
1201,12,1596,541,1682,629
1201,13,1357,530,1412,606
1201,14,1904,517,2007,580
1201,15,1307,489,1350,565
1201,16,819,464,882,560
1201,17,1128,499,1173,555
1201,18,1061,497,1100,552
1201,19,1236,490,1274,552
1201,20,947,501,986,540
1201,21,1401,491,1432,526
1201,22,1544,484,1587,516
1202,0,641,1170,713,1294
1202,1,690,754,780,874
1202,2,1997,662,2069,787
1202,3,1010,612,1048,756
1202,4,1095,666,1221,736
1202,5,1416,663,1503,724
1202,6,1321,601,1384,723
1202,7,1704,587,1775,687
1202,8,1887,587,1926,685
1202,9,1968,587,2022,685
1202,10,2099,581,2148,680
1202,11,1211,550,1265,642
1202,12,1592,538,1686,628
1202,13,1359,529,1413,608
1202,14,1905,519,2009,584
1202,15,1309,498,1364,566
1202,16,822,462,877,560
1202,17,1127,497,1173,554
1202,18,1061,497,1100,553
1202,19,1235,490,1275,551
1202,20,943,503,983,539
1202,21,1400,492,1432,526
1202,22,1545,483,1587,516
1203,0,642,1166,709,1293
1203,1,690,752,779,875
1203,2,2001,660,2068,788
1203,3,1115,671,1217,748
1203,4,1005,620,1051,744
1203,5,1419,663,1505,728
1203,6,1321,601,1380,722
1203,7,1718,590,1783,699
1203,8,1887,585,1926,684
1203,9,2099,580,2148,683
1203,10,1211,550,1264,643
1203,11,1592,541,1689,625
1203,12,1360,529,1414,609
1203,13,1903,521,2016,582
1203,14,1305,497,1347,576
1203,15,1125,497,1168,555
1203,16,824,463,868,553
1203,17,1060,496,1100,553
1203,18,1235,490,1275,553
1203,19,950,502,987,540
1203,20,1400,492,1433,526
1203,21,1544,483,1589,517
1204,0,641,1166,711,1293
1204,1,690,752,779,876
1204,2,2002,654,2074,781
1204,3,1112,678,1222,756
1204,4,1012,597,1049,735
1204,5,1425,659,1507,729
1204,6,1321,603,1369,724
1204,7,1723,589,1789,698
1204,8,1980,584,2022,690
1204,9,1886,586,1925,684
1204,10,2100,580,2148,683
1204,11,1208,551,1268,641
1204,12,1592,542,1691,624
1204,13,1358,529,1413,609
1204,14,1910,527,2017,593
1204,15,1305,498,1347,581
1204,16,819,468,868,554
1204,17,1235,490,1274,554
1204,18,1060,496,1101,553
1204,19,1128,496,1167,553
1204,20,952,502,987,540
1204,21,1400,492,1431,528
1204,22,1545,483,1588,516
1205,0,640,1170,716,1291
1205,1,691,750,778,875
1205,2,2021,655,2079,781
1205,3,1116,682,1223,759
1205,4,1424,659,1513,727
1205,5,1011,588,1049,727
1205,6,1321,600,1368,723
1205,7,1732,592,1781,708
1205,8,1981,589,2020,695
1205,9,1887,585,1926,684
1205,10,2099,581,2148,683
1205,11,1212,551,1264,643
1205,12,1592,541,1694,624
1205,13,1362,529,1414,611
1205,14,1932,527,2026,595
1205,15,1306,500,1348,587
1205,16,819,467,874,570
1205,17,1234,490,1273,554
1205,18,1117,495,1159,554
1205,19,1059,497,1098,553
1205,20,948,501,987,538
1205,21,1400,492,1431,528
1205,22,1546,482,1588,517
1206,0,635,1172,734,1291
1206,1,691,750,776,876
1206,2,2032,656,2077,775
1206,3,1118,687,1226,773
1206,4,1426,659,1514,727
1206,5,1324,599,1373,720
1206,6,1006,579,1052,706
1206,7,1738,591,1784,704
